Scenario,Mechanism,Generated,Completed,Throughput,Efficiency,Distance,Fairness_Var,Idle_Time,Attempted_Conflicts,Hard_Blocks,Total_Conflicts,Avg_Completion_Delay,Avg_Battery_End
Light Load,CNP,10,10,0.0500,0.0360,278.00,0.40,722,0,0,0,38.40,72.20
Light Load,GREEDY,10,10,0.0500,0.0366,273.00,0.40,727,0,0,0,40.40,72.70
Light Load,CENTRALIZED,10,10,0.0500,0.0331,302.00,0.00,698,0,0,0,40.40,69.80
Medium Load,CNP,30,23,0.1150,0.0301,765.00,0.24,235,0,0,0,76.78,23.50
Medium Load,GREEDY,30,26,0.1300,0.0291,895.00,0.16,40,0,0,0,80.23,75.50
Medium Load,CENTRALIZED,30,24,0.1200,0.0266,902.00,1.36,33,0,0,0,79.21,74.80
Heavy Load,CNP,50,24,0.1200,0.0294,817.00,0.96,157,0,0,0,71.58,44.30
Heavy Load,GREEDY,50,29,0.1450,0.0326,890.00,1.76,44,0,0,0,72.62,76.00
Heavy Load,CENTRALIZED,50,21,0.1050,0.0231,908.00,0.56,27,0,0,0,80.57,74.20
Robot Failure,CNP,30,18,0.0900,0.0257,701.00,0.64,166,0,0,0,67.89,42.90
Robot Failure,GREEDY,30,22,0.1100,0.0278,791.00,0.24,37,0,0,0,67.73,72.90
Robot Failure,CENTRALIZED,30,18,0.0900,0.0225,800.00,2.64,28,0,0,0,78.33,72.00
Clustered Orders,CNP,30,23,0.1150,0.0279,823.00,0.24,151,0,0,0,74.61,43.70
Clustered Orders,GREEDY,30,25,0.1250,0.0279,895.00,0.40,40,0,0,0,75.80,75.50
Clustered Orders,CENTRALIZED,30,24,0.1200,0.0264,910.00,0.16,25,0,0,0,88.50,74.00
Dynamic Orders,CNP,79,24,0.1200,0.0312,769.00,0.16,218,0,0,0,62.67,36.10
Dynamic Orders,GREEDY,81,28,0.1400,0.0323,866.00,1.44,67,0,0,0,45.54,78.40
Dynamic Orders,CENTRALIZED,89,24,0.1200,0.0276,871.00,0.16,64,0,0,0,71.42,77.90
Congestion Test,CNP,80,80,0.3200,0.0302,2652.00,0.60,2219,129,7,136,51.75,33.70
Congestion Test,GREEDY,80,80,0.3200,0.0307,2610.00,1.60,2287,103,2,105,55.49,34.75
Congestion Test,CENTRALIZED,80,80,0.3200,0.0351,2276.00,2.00,2622,89,3,92,41.61,46.35
